"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2004","Croatia","Total","Total","Number","4,305,725",""
"2004","Italy","Total","Total","Number","57,495,900",""
"2004","Cyprus","Total","Total","Number","722,893",""
"2004","Latvia","Total","Total","Number","2,276,520",""
"2004","Lithuania","Total","Total","Number","3,398,929",""
"2004","Luxembourg","Total","Total","Number","454,960",""
"2004","Hungary","Total","Total","Number","10,116,742",""
"2004","Malta","Total","Total","Number","399,867",""
"2004","Netherlands","Total","Total","Number","16,258,032",""
"2004","Austria","Total","Total","Number","8,142,573",""
"2004","Poland","Total","Total","Number","38,190,608",""
"2004","Portugal","Total","Total","Number","10,473,050",""
"2004","Romania","Total","Total","Number","21,521,142",""
"2004","Slovenia","Total","Total","Number","1,996,433",""
"2004","Slovakia","Total","Total","Number","5,371,875",""
"2004","Finland","Total","Total","Number","5,219,732",""
"2004","Sweden","Total","Total","Number","8,975,670",""
"2004","United Kingdom","Total","Total","Number","59,793,759",""
"2004","Iceland","Total","Total","Number","290,570",""
"2004","Liechtenstein","Total","Total","Number","34,294",""
"2004","Norway","Total","Total","Number","4,577,457",""
"2004","Switzerland","Total","Total","Number","7,364,148",""
"2005","Belgium","Total","Total","Number","10,445,852",""
"2005","Bulgaria","Total","Total","Number","7,688,573",""
"2005","Czechia","Total","Total","Number","10,198,855",""
"2005","Denmark","Total","Total","Number","5,411,405",""
"2005","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,500,849",""
"2005","Estonia","Total","Total","Number","1,358,850",""
"2005","Ireland","Total","Total","Number","4,111,672",""
"2005","Greece","Total","Total","Number","10,969,912",""
"2005","Spain","Total","Total","Number","43,296,338",""
"2005","France","Total","Total","Number","62,772,870",""
"2005","Croatia","Total","Total","Number","4,310,861",""
"2005","Italy","Total","Total","Number","57,874,753",""
"2005","Cyprus","Total","Total","Number","733,067",""
"2005","Latvia","Total","Total","Number","2,249,724",""
"2005","Lithuania","Total","Total","Number","3,355,220",""
"2005","Luxembourg","Total","Total","Number","461,230",""
"2005","Hungary","Total","Total","Number","10,097,549",""
"2005","Malta","Total","Total","Number","402,668",""
"2005","Netherlands","Total","Total","Number","16,305,526",""
"2005","Austria","Total","Total","Number","8,201,359",""
"2005","Poland","Total","Total","Number","38,173,835",""
"2005","Portugal","Total","Total","Number","10,494,672",""
"2005","Romania","Total","Total","Number","21,382,354",""
"2005","Slovenia","Total","Total","Number","1,997,590",""
"2005","Slovakia","Total","Total","Number","5,372,685",""
"2005","Finland","Total","Total","Number","5,236,611",""
"2005","Sweden","Total","Total","Number","9,011,392",""
"2005","United Kingdom","Total","Total","Number","60,182,050",""
"2005","Iceland","Total","Total","Number","293,577",""
"2005","Liechtenstein","Total","Total","Number","34,600",""
"2005","Norway","Total","Total","Number","4,606,363",""
"2005","Switzerland","Total","Total","Number","7,415,102",""
"2006","Belgium","Total","Total","Number","10,511,382",""
"2006","Bulgaria","Total","Total","Number","7,629,371",""
"2006","Czechia","Total","Total","Number","10,223,577",""
"2006","Denmark","Total","Total","Number","5,427,459",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,437,995",""
"2006","Estonia","Total","Total","Number","1,350,700",""
"2006","Ireland","Total","Total","Number","4,208,156",""
"2006","Greece","Total","Total","Number","11,004,716",""
"2006","Spain","Total","Total","Number","44,009,971",""
"2006","France","Total","Total","Number","63,229,635",""
"2006","Croatia","Total","Total","Number","4,312,487",""
"2006","Italy","Total","Total","Number","58,064,214",""
"2006","Cyprus","Total","Total","Number","744,013",""
"2006","Latvia","Total","Total","Number","2,227,874",""
"2006","Lithuania","Total","Total","Number","3,289,835",""
"2006","Luxembourg","Total","Total","Number","469,086",""
"2006","Hungary","Total","Total","Number","10,076,581",""
"2006","Malta","Total","Total","Number","404,999",""
"2006","Netherlands","Total","Total","Number","16,334,210",""
"2006","Austria","Total","Total","Number","8,254,298",""
"2006","Poland","Total","Total","Number","38,157,055",""
"2006","Portugal","Total","Total","Number","10,511,988",""
"2006","Romania","Total","Total","Number","21,257,016",""
"2006","Slovenia","Total","Total","Number","2,003,358",""
"2006","Slovakia","Total","Total","Number","5,372,928",""
"2006","Finland","Total","Total","Number","5,255,580",""
"2006","Sweden","Total","Total","Number","9,047,752",""
"2006","United Kingdom","Total","Total","Number","60,620,361",""
"2006","Iceland","Total","Total","Number","299,891",""
"2006","Liechtenstein","Total","Total","Number","34,905",""
"2006","Norway","Total","Total","Number","4,640,219",""
"2006","Switzerland","Total","Total","Number","7,459,128",""
"2007","Belgium","Total","Total","Number","10,584,534",""
"2007","Bulgaria","Total","Total","Number","7,572,673",""
"2007","Czechia","Total","Total","Number","10,254,233",""
"2007","Denmark","Total","Total","Number","5,447,084",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,314,906",""
"2007","Estonia","Total","Total","Number","1,342,920",""
"2007","Ireland","Total","Total","Number","4,340,118",""
"2007","Greece","Total","Total","Number","11,036,008",""
"2007","Spain","Total","Total","Number","44,784,666",""
"2007","France","Total","Total","Number","63,645,065",""
"2007","Croatia","Total","Total","Number","4,313,530",""
"2007","Italy","Total","Total","Number","58,223,744",""
"2007","Cyprus","Total","Total","Number","757,916",""
"2007","Latvia","Total","Total","Number","2,208,840",""
